Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
2467.706,5.905769,3.171706,3.527991,3.850122,5.259661,4.703458,4.773321,2.673566,3.236581,9.423711,8.568133,4.277476,4.800867,5.318975,11.20981,11.2,6.552519,6.788353,5.693793,5.986424,5.537187,2.35111,1.898146,2.096777,3.205477,3.10443,3.489747,4.159629,6.04,5.98,5.89,1.73,1.63,2.15,2.97,2.19,2.94,3.72,3.94,3.99,1.847379,0.6940441,1.764104,2.102304,2.850118,1.93,1.85,1.79
2468.67,5.979572,3.211846,3.424217,3.870218,5.252626,4.645,4.820049,2.645311,3.195148,9.406506,8.443289,4.262894,4.662062,5.448069,11.20755,11.3,6.663707,6.921127,5.569835,6.108445,5.555636,2.310503,1.90961,2.043936,3.162362,3.102791,3.393952,4.322907,5.95,6.03,5.95,1.74,1.74,2.29,2.92,2.24,2.9,3.77,3.91,3.93,1.900791,0.7014378,1.771704,2.152131,2.804753,1.93,1.71,1.76
2469.635,6.015443,3.289487,3.326075,3.85755,5.222778,4.582155,4.916494,2.687482,3.153883,9.36366,8.315095,4.271478,4.53581,5.574396,11.13495,11.4,6.778326,7.088062,5.434712,6.189177,5.555312,2.286752,1.926722,1.981941,3.122275,3.076958,3.334892,4.529778,5.83,6.06,5.96,1.72,1.86,2.38,2.86,2.3,2.84,3.81,3.9,3.89,1.924378,0.707499,1.71993,2.1853,2.755274,1.94,1.61,1.76
2470.599,6.015073,3.401431,3.242349,3.811984,5.186889,4.521667,5.038554,2.796623,3.10094,9.289697,8.204505,4.311833,4.454547,5.688362,11.0086,11.5,6.869419,7.257922,5.318645,6.219753,5.519621,2.275987,1.94703,1.919822,3.102742,3.03616,3.329846,4.749509,5.72,6.07,5.94,1.66,2,2.43,2.79,2.37,2.79,3.85,3.92,3.88,1.907277,0.7198966,1.602564,2.189508,2.709587,1.95,1.52,1.77
2471.563,5.98661,3.538318,3.177351,3.738047,5.163313,4.47026,5.160251,2.95282,3.031891,9.181997,8.128399,4.385742,4.434966,5.787824,10.85362,11.5,6.91635,7.395453,5.246899,6.202428,5.441555,2.269723,1.969966,1.865921,3.11358,2.991983,3.385616,4.943182,5.62,6.08,5.88,1.58,2.12,2.45,2.7,2.48,2.72,3.87,3.96,3.92,1.852263,0.750761,1.433278,2.154985,2.672638,1.92,1.45,1.81
2472.527,5.943274,3.684982,3.130444,3.645014,5.169363,4.435585,5.260742,3.123561,2.952389,9.041604,8.095178,4.487812,4.473454,5.875028,10.69875,11.6,6.912127,7.470444,5.233314,6.148973,5.329954,2.260293,1.996284,1.826804,3.153109,2.958281,3.49438,5.077136,5.54,6.08,5.8,1.5,2.21,2.46,2.61,2.61,2.66,3.89,4.03,3.99,1.775807,0.8139319,1.245221,2.079404,2.645516,1.84,1.39,1.87
2473.492,5.89971,3.823206,3.097013,3.544905,5.218306,4.424891,5.326653,3.274735,2.87534,8.874604,8.1024,4.60708,4.549536,5.95162,10.57099,11.6,6.866343,7.465944,5.277642,6.078074,5.209222,2.246181,2.026558,1.806199,3.209545,2.949708,3.636395,5.13448,5.47,6.1,5.72,1.44,2.26,2.47,2.51,2.76,2.59,3.9,4.1,4.07,1.70113,0.9180291,1.083353,1.96956,2.625576,1.71,1.34,1.94
2474.456,5.866924,3.93563,3.070501,3.449583,5.316159,4.441597,5.351179,3.381776,2.814111,8.693558,8.137341,4.729149,4.635128,6.015553,10.49036,11.7,6.802055,7.382711,5.367032,6.012134,5.111785,2.233782,2.059295,1.804685,3.267177,2.978308,3.786186,5.119211,5.42,6.14,5.67,1.41,2.26,2.47,2.44,2.92,2.54,3.93,4.17,4.16,1.646579,1.060091,0.9896256,1.840309,2.607769,1.54,1.3,2.02
2475.42,5.847943,4.00919,3.04473,3.368792,5.459113,4.481701,5.332882,3.435329,2.776905,8.517921,8.180132,4.83813,4.705098,6.061398,10.46559,11.7,6.747427,7.238372,5.480108,5.973416,5.066119,2.234313,2.090345,1.820378,3.313203,3.049317,3.91836,5.051972,5.39,6.21,5.67,1.44,2.24,2.48,2.39,3.08,2.51,3.96,4.22,4.22,1.615719,1.224561,0.9839194,1.712151,2.586816,1.38,1.29,2.09
2476.384,5.836615,4.037344,3.015814,3.309849,5.632225,4.532578,5.275868,3.440918,2.766647,8.372366,8.208298,4.918662,4.744485,6.082781,10.49219,11.7,6.725473,7.061504,5.592071,5.979715,5.08581,2.257514,2.11475,1.850136,3.341638,3.157836,4.012236,4.960552,5.37,6.31,5.71,1.53,2.21,2.48,2.39,3.22,2.53,4.01,4.25,4.27,1.596203,1.388029,1.05537,1.607157,2.55902,1.24,1.31,2.15
